language,text_size,pattern_size,case_type,run_number,execution_time_seconds
Python,10000,10,best,1,0.0018847269998332195
Python,10000,10,best,2,0.0018977659997290175
Python,10000,10,best,3,0.001853156999914063
Python,10000,10,best,4,0.0019177130002390186
Python,10000,10,best,5,0.0019081079999523354
Python,10000,10,best,6,0.0020427699996616866
Python,10000,10,best,7,0.0019530280001163192
Python,10000,10,best,8,0.0018990580001627677
Python,10000,10,best,9,0.0019176449995939038
Python,10000,10,best,10,0.0016817179998724896
Python,10000,10,best,11,0.0017868509999061644
Python,10000,10,best,12,0.001759751999998116
Python,10000,10,best,13,0.0018226080001113587
Python,10000,10,best,14,0.0017162049998660223
Python,10000,10,best,15,0.0016664889999447041
Python,10000,10,best,16,0.0017219189999195805
Python,10000,10,best,17,0.0017033270000865741
Python,10000,10,best,18,0.0017259530000046652
Python,10000,10,best,19,0.0017285230001107266
Python,10000,10,best,20,0.0018416759999126953
Python,10000,10,best,21,0.001720727999781957
Python,10000,10,best,22,0.0016727020001781057
Python,10000,10,best,23,0.0016746800001783413
Python,10000,10,best,24,0.0016854229997989023
Python,10000,10,best,25,0.0016476830001010967
C,10000,10,best,1,8.7e-08
C,10000,10,best,2,5.9e-08
C,10000,10,best,3,8.6e-08
C,10000,10,best,4,7.1e-08
C,10000,10,best,5,1.15e-07
C,10000,10,best,6,6.7e-08
C,10000,10,best,7,9.1e-08
C,10000,10,best,8,7e-08
C,10000,10,best,9,7e-08
C,10000,10,best,10,1.02e-07
C,10000,10,best,11,8.9e-08
C,10000,10,best,12,1.01e-07
C,10000,10,best,13,7.5e-08
C,10000,10,best,14,1.17e-07
C,10000,10,best,15,6.7e-08
C,10000,10,best,16,6.9e-08
C,10000,10,best,17,6.8e-08
C,10000,10,best,18,6e-08
C,10000,10,best,19,7.3e-08
C,10000,10,best,20,7.2e-08
C,10000,10,best,21,6.8e-08
C,10000,10,best,22,1.14e-07
C,10000,10,best,23,5.5e-08
C,10000,10,best,24,8.8e-08
C,10000,10,best,25,7e-08
Python,10000,10,average,1,0.0019418259998928988
Python,10000,10,average,2,0.002040569000200776
Python,10000,10,average,3,0.0018512359997657768
Python,10000,10,average,4,0.0023279590000129247
Python,10000,10,average,5,0.001834722000239708
Python,10000,10,average,6,0.002063618000192946
Python,10000,10,average,7,0.0019076800003858807
Python,10000,10,average,8,0.001937147999797162
Python,10000,10,average,9,0.0034242780002387008
Python,10000,10,average,10,0.003262265999637748
Python,10000,10,average,11,0.0029508109996640997
Python,10000,10,average,12,0.0017162300000563846
Python,10000,10,average,13,0.0017769149999367073
Python,10000,10,average,14,0.0017168929998661042
Python,10000,10,average,15,0.0018748390002656379
Python,10000,10,average,16,0.001803454000310012
Python,10000,10,average,17,0.0016832729997986462
Python,10000,10,average,18,0.0016972079997685796
Python,10000,10,average,19,0.0016919750000852218
Python,10000,10,average,20,0.0016663679998600855
